date,iip_growth_pct,source,base_year
2012-04-01,-0.7,MOSPI / RBI DBIE,2011-12
2012-05-01,5.0,MOSPI / RBI DBIE,2011-12
2012-06-01,2.3,MOSPI / RBI DBIE,2011-12
2012-07-01,1.5,MOSPI / RBI DBIE,2011-12
2012-08-01,-0.1,MOSPI / RBI DBIE,2011-12
2012-09-01,-1.0,MOSPI / RBI DBIE,2011-12
2012-10-01,3.7,MOSPI / RBI DBIE,2011-12
2012-11-01,-1.7,MOSPI / RBI DBIE,2011-12
2012-12-01,7.1,MOSPI / RBI DBIE,2011-12
2013-01-01,7.2,MOSPI / RBI DBIE,2011-12
2013-02-01,1.4,MOSPI / RBI DBIE,2011-12
2013-03-01,15.2,MOSPI / RBI DBIE,2011-12
2013-04-01,3.3,MOSPI / RBI DBIE,2011-12
2013-05-01,1.0,MOSPI / RBI DBIE,2011-12
2013-06-01,-1.0,MOSPI / RBI DBIE,2011-12
2013-07-01,3.2,MOSPI / RBI DBIE,2011-12
2013-08-01,4.4,MOSPI / RBI DBIE,2011-12
2013-09-01,6.8,MOSPI / RBI DBIE,2011-12
2013-10-01,1.9,MOSPI / RBI DBIE,2011-12
2013-11-01,3.7,MOSPI / RBI DBIE,2011-12
2013-12-01,3.5,MOSPI / RBI DBIE,2011-12
2014-01-01,4.8,MOSPI / RBI DBIE,2011-12
2014-02-01,5.2,MOSPI / RBI DBIE,2011-12
2014-03-01,2.9,MOSPI / RBI DBIE,2011-12
2014-04-01,3.9,MOSPI / RBI DBIE,2011-12
2014-05-01,4.7,MOSPI / RBI DBIE,2011-12
2014-06-01,8.3,MOSPI / RBI DBIE,2011-12
2014-07-01,5.4,MOSPI / RBI DBIE,2011-12
2014-08-01,3.5,MOSPI / RBI DBIE,2011-12
2014-09-01,4.3,MOSPI / RBI DBIE,2011-12
2014-10-01,0.3,MOSPI / RBI DBIE,2011-12
2014-11-01,7.4,MOSPI / RBI DBIE,2011-12
2014-12-01,4.0,MOSPI / RBI DBIE,2011-12
2015-01-01,1.8,MOSPI / RBI DBIE,2011-12
2015-02-01,3.0,MOSPI / RBI DBIE,2011-12
2015-03-01,2.4,MOSPI / RBI DBIE,2011-12
2015-04-01,0.7,MOSPI / RBI DBIE,2011-12
2015-05-01,1.8,MOSPI / RBI DBIE,2011-12
2015-06-01,1.0,MOSPI / RBI DBIE,2011-12
2015-07-01,1.3,MOSPI / RBI DBIE,2011-12
2015-08-01,3.7,MOSPI / RBI DBIE,2011-12
