date,cpi_yoy_pct,series,base_year,source
2012-04-01,10.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2012-05-01,10.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2012-06-01,10.0,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2012-07-01,9.9,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2012-08-01,10.0,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2012-09-01,9.7,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2012-10-01,9.8,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2012-11-01,9.9,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2012-12-01,10.6,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2013-01-01,10.8,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2013-02-01,10.9,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2013-03-01,10.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2013-04-01,9.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2013-05-01,9.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2013-06-01,9.9,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2013-07-01,9.6,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2013-08-01,9.5,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2013-09-01,9.8,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2013-10-01,10.1,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2013-11-01,11.2,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2013-12-01,9.9,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2014-01-01,8.8,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2014-02-01,8.1,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2014-03-01,8.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2014-04-01,8.6,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2014-05-01,8.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2014-06-01,7.5,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2014-07-01,8.0,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2014-08-01,7.8,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2014-09-01,6.5,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2014-10-01,5.5,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2014-11-01,4.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2014-12-01,5.0,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2015-01-01,5.1,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2015-02-01,5.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2015-03-01,5.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2015-04-01,4.9,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2015-05-01,5.0,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2015-06-01,5.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2015-07-01,3.8,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2015-08-01,3.7,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2015-09-01,4.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2015-10-01,5.0,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2015-11-01,5.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2015-12-01,5.6,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2016-01-01,5.7,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2016-02-01,5.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2016-03-01,4.8,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2016-04-01,5.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2016-05-01,5.8,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2016-06-01,5.8,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2016-07-01,6.1,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2016-08-01,5.1,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2016-09-01,4.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2016-10-01,4.2,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2016-11-01,3.6,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2016-12-01,3.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2017-01-01,3.2,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2017-02-01,3.7,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2017-03-01,3.9,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2017-04-01,3.0,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2017-05-01,2.2,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2017-06-01,1.5,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2017-07-01,2.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2017-08-01,3.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2017-09-01,3.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2017-10-01,3.6,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2017-11-01,4.9,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2017-12-01,5.2,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2018-01-01,5.1,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2018-02-01,4.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2018-03-01,4.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2018-04-01,4.6,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2018-05-01,4.9,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2018-06-01,5.0,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2018-07-01,4.2,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2018-08-01,3.7,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2018-09-01,3.7,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2018-10-01,3.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2018-11-01,2.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2018-12-01,2.1,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2019-01-01,2.1,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2019-02-01,2.6,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2019-03-01,2.9,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2019-04-01,3.0,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2019-05-01,3.1,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2019-06-01,3.2,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2019-07-01,3.2,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2019-08-01,3.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2019-09-01,4.0,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2019-10-01,4.6,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2019-11-01,5.5,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2019-12-01,7.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2020-01-01,7.6,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2020-02-01,6.6,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2020-03-01,5.9,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2020-04-01,7.2,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2020-05-01,6.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2020-06-01,6.1,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2020-07-01,6.9,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
