date,credit_growth_yoy_pct,source,notes
2010-04-01,16.9,RBI Database on Indian Economy / Scheduled Commercial Banks,
2010-07-01,18.2,RBI Database on Indian Economy / Scheduled Commercial Banks,
2010-10-01,20.1,RBI Database on Indian Economy / Scheduled Commercial Banks,
2011-01-01,23.9,RBI Database on Indian Economy / Scheduled Commercial Banks,
2011-04-01,21.5,RBI Database on Indian Economy / Scheduled Commercial Banks,
2011-07-01,19.8,RBI Database on Indian Economy / Scheduled Commercial Banks,
2011-10-01,18.3,RBI Database on Indian Economy / Scheduled Commercial Banks,
2012-01-01,17.2,RBI Database on Indian Economy / Scheduled Commercial Banks,
2012-04-01,17.0,RBI Database on Indian Economy / Scheduled Commercial Banks,
2012-07-01,16.5,RBI Database on Indian Economy / Scheduled Commercial Banks,
2012-10-01,16.0,RBI Database on Indian Economy / Scheduled Commercial Banks,
2013-01-01,15.8,RBI Database on Indian Economy / Scheduled Commercial Banks,
2013-04-01,15.3,RBI Database on Indian Economy / Scheduled Commercial Banks,
2013-07-01,15.0,RBI Database on Indian Economy / Scheduled Commercial Banks,
2013-10-01,14.8,RBI Database on Indian Economy / Scheduled Commercial Banks,
2014-01-01,14.5,RBI Database on Indian Economy / Scheduled Commercial Banks,
2014-04-01,14.2,RBI Database on Indian Economy / Scheduled Commercial Banks,
2014-07-01,13.9,RBI Database on Indian Economy / Scheduled Commercial Banks,
2014-10-01,13.6,RBI Database on Indian Economy / Scheduled Commercial Banks,
2015-01-01,13.2,RBI Database on Indian Economy / Scheduled Commercial Banks,
2015-04-01,12.8,RBI Database on Indian Economy / Scheduled Commercial Banks,
2015-07-01,12.5,RBI Database on Indian Economy / Scheduled Commercial Banks,
2015-10-01,12.0,RBI Database on Indian Economy / Scheduled Commercial Banks,
2016-01-01,11.8,RBI Database on Indian Economy / Scheduled Commercial Banks,
2016-04-01,11.5,RBI Database on Indian Economy / Scheduled Commercial Banks,
2016-07-01,11.2,RBI Database on Indian Economy / Scheduled Commercial Banks,
2016-10-01,10.8,RBI Database on Indian Economy / Scheduled Commercial Banks,
2017-01-01,10.4,RBI Database on Indian Economy / Scheduled Commercial Banks,
2017-04-01,10.0,RBI Database on Indian Economy / Scheduled Commercial Banks,
2017-07-01,9.8,RBI Database on Indian Economy / Scheduled Commercial Banks,NBFC stress
2017-10-01,9.5,RBI Database on Indian Economy / Scheduled Commercial Banks,NBFC stress
2018-01-01,10.2,RBI Database on Indian Economy / Scheduled Commercial Banks,
2018-04-01,10.8,RBI Database on Indian Economy / Scheduled Commercial Banks,
2018-07-01,11.4,RBI Database on Indian Economy / Scheduled Commercial Banks,
2018-10-01,12.0,RBI Database on Indian Economy / Scheduled Commercial Banks,
2019-01-01,11.6,RBI Database on Indian Economy / Scheduled Commercial Banks,
2019-04-01,11.2,RBI Database on Indian Economy / Scheduled Commercial Banks,
2019-07-01,10.5,RBI Database on Indian Economy / Scheduled Commercial Banks,
2019-10-01,9.8,RBI Database on Indian Economy / Scheduled Commercial Banks,NBFC stress
2020-01-01,9.2,RBI Database on Indian Economy / Scheduled Commercial Banks,NBFC stress
2020-04-01,7.5,RBI Database on Indian Economy / Scheduled Commercial Banks,COVID: sharp slowdown
2020-07-01,6.8,RBI Database on Indian Economy / Scheduled Commercial Banks,COVID: sharp slowdown
2020-10-01,7.2,RBI Database on Indian Economy / Scheduled Commercial Banks,COVID: sharp slowdown
2021-01-01,7.8,RBI Database on Indian Economy / Scheduled Commercial Banks,COVID: sharp slowdown
2021-04-01,8.2,RBI Database on Indian Economy / Scheduled Commercial Banks,NBFC stress
2021-07-01,9.0,RBI Database on Indian Economy / Scheduled Commercial Banks,NBFC stress
2021-10-01,9.8,RBI Database on Indian Economy / Scheduled Commercial Banks,NBFC stress
2022-01-01,10.5,RBI Database on Indian Economy / Scheduled Commercial Banks,
2022-04-01,11.2,RBI Database on Indian Economy / Scheduled Commercial Banks,
2022-07-01,12.0,RBI Database on Indian Economy / Scheduled Commercial Banks,
2022-10-01,13.0,RBI Database on Indian Economy / Scheduled Commercial Banks,
2023-01-01,14.2,RBI Database on Indian Economy / Scheduled Commercial Banks,
2023-04-01,15.0,RBI Database on Indian Economy / Scheduled Commercial Banks,
2023-07-01,15.8,RBI Database on Indian Economy / Scheduled Commercial Banks,
2023-10-01,16.2,RBI Database on Indian Economy / Scheduled Commercial Banks,
2024-01-01,16.5,RBI Database on Indian Economy / Scheduled Commercial Banks,
2024-04-01,16.8,RBI Database on Indian Economy / Scheduled Commercial Banks,
2024-07-01,17.0,RBI Database on Indian Economy / Scheduled Commercial Banks,
2024-10-01,16.5,RBI Database on Indian Economy / Scheduled Commercial Banks,
2025-01-01,15.2,RBI Database on Indian Economy / Scheduled Commercial Banks,
2025-04-01,14.5,RBI Database on Indian Economy / Scheduled Commercial Banks,
2025-07-01,14.0,RBI Database on Indian Economy / Scheduled Commercial Banks,
2025-10-01,13.5,RBI Database on Indian Economy / Scheduled Commercial Banks,
2026-01-01,13.1,RBI Database on Indian Economy / Scheduled Commercial Banks,
