quarter,date,unemployment_rate_pct,notes,source,methodology
2017-Q1,2017-04-01,3.4,PLFS Annual,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2017-Q2,2017-07-01,3.6,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2017-Q3,2017-10-01,3.8,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2017-Q4,2018-01-01,4.0,Post-demonetisation impact,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2018-Q1,2018-04-01,4.2,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2018-Q2,2018-07-01,4.5,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2018-Q3,2018-10-01,5.2,NBFC crisis jobs loss,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2018-Q4,2019-01-01,5.8,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2019-Q1,2019-04-01,6.2,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2019-Q2,2019-07-01,7.2,Election slowdown,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2019-Q3,2019-10-01,7.5,Pre-COVID stress,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2019-Q4,2020-01-01,7.2,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2020-Q1,2020-04-01,23.5,COVID lockdown peak,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2020-Q2,2020-07-01,11.0,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2020-Q3,2020-10-01,7.0,Partial unlock,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2020-Q4,2021-01-01,6.5,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2021-Q1,2021-04-01,8.2,2nd wave,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2021-Q2,2021-07-01,7.5,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2021-Q3,2021-10-01,7.0,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2021-Q4,2022-01-01,6.8,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2022-Q1,2022-04-01,7.2,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2022-Q2,2022-07-01,6.9,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2022-Q3,2022-10-01,7.1,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
