date,walr_fresh_loans_pct,walr_outstanding_pct,wadtdr_fresh_deposits_pct,wadtdr_outstanding_pct,mclr_1y_pct,source,notes
2015-04-01,11.5,10.8,7.8,7.2,11.0,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2015-07-01,11.2,10.5,7.5,6.9,10.7,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2015-10-01,11.0,10.2,7.2,6.7,10.5,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2016-01-01,10.8,9.9,7.0,6.5,10.3,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2016-04-01,10.5,9.6,6.8,6.3,10.0,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2016-07-01,10.3,9.4,6.5,6.0,9.8,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2016-10-01,10.0,9.2,6.2,5.8,9.5,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2017-01-01,9.8,9.0,6.0,5.6,9.3,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2017-04-01,9.7,8.9,5.9,5.5,9.2,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2017-07-01,9.5,8.8,5.8,5.4,9.0,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2017-10-01,9.4,8.7,5.7,5.3,8.9,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2018-01-01,9.5,8.8,5.9,5.5,9.0,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2018-04-01,9.6,8.9,6.0,5.6,9.1,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2018-07-01,9.8,9.0,6.2,5.8,9.3,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2018-10-01,10.0,9.2,6.4,6.0,9.5,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2019-01-01,9.9,9.1,6.3,5.9,9.4,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2019-04-01,9.7,8.9,6.1,5.7,9.2,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2019-07-01,9.5,8.7,5.9,5.5,9.0,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2019-10-01,9.3,8.6,5.7,5.3,8.8,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
