date,recession_label,event,description,definition,source
2012-01-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2012-02-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2012-03-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2012-04-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2012-05-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2012-06-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2012-07-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2012-08-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2012-09-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2012-10-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2012-11-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2012-12-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2013-01-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2013-02-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2013-03-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2013-04-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2013-05-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2013-06-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2013-07-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2013-08-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2013-09-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2013-10-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2013-11-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2013-12-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2014-01-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2014-02-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2014-03-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2014-04-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2014-05-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2014-06-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2014-07-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2014-08-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2014-09-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2014-10-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2014-11-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
