date,recession_label,iip_growth_pct,cpi_yoy_pct,gdp_growth_pct,repo_rate_pct,yield_spread_bps,credit_growth_yoy_pct,unemployment_rate_pct,sentiment_score,iip_3m_rolling_avg,cpi_momentum_3m,repo_rate_change,gdp_lag1q,iip_lag1m,yield_spread_lag1,year,month,fiscal_year,finbert_composite,sent_mpc,sent_budget,sent_rbi_governor,sent_econ_survey,ft_composite,ft_mpc,ft_budget,ft_rbi_governor,ft_econ_survey
2012-01-01,0,-0.7,10.36,5.1,8.5,182.1,17.2,3.4,0.15,-0.7,-0.5,0.0,5.1,-0.7,182.1,2012,January,FY12,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2012-02-01,0,-0.7,10.36,5.1,8.5,188.5,17.2,3.4,0.15,-0.7,-0.5,0.0,5.1,-0.7,182.1,2012,February,FY12,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2012-03-01,0,-0.7,10.36,5.1,8.5,175.5,17.2,3.4,0.15,-0.7,-0.5,0.0,5.1,-0.7,188.5,2012,March,FY12,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2012-04-01,0,-0.7,10.36,5.1,8.5,190.3,17.0,3.4,0.15,-0.7,-0.5,0.0,5.1,-0.7,175.5,2012,April,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2012-05-01,0,5.0,10.36,5.1,8.0,179.8,17.0,3.4,0.15,2.15,-0.5,-0.5,5.1,-0.7,190.3,2012,May,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2012-06-01,0,2.3,10.36,5.1,8.0,182.1,17.0,3.4,0.15,2.2,-0.5,0.0,5.1,5.0,179.8,2012,June,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2012-07-01,0,1.5,9.86,5.4,8.0,178.0,16.5,3.4,0.15,2.9333333333333336,-0.5,0.0,5.1,2.3,182.1,2012,July,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2012-08-01,0,-0.1,9.86,5.4,8.0,201.4,16.5,3.4,0.15,1.2333333333333332,-0.5,0.0,5.1,1.5,178.0,2012,August,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2012-09-01,0,-1.0,9.86,5.4,8.0,181.4,16.5,3.4,0.15,0.1333333333333333,-0.5,0.0,5.1,-0.1,201.4,2012,September,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2012-10-01,0,3.7,9.75,4.6,8.0,169.5,16.0,3.4,0.15,0.8666666666666667,-0.1099999999999994,0.0,5.4,-1.0,181.4,2012,October,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2012-11-01,0,-1.7,9.75,4.6,7.5,186.7,16.0,3.4,0.15,0.3333333333333334,-0.1099999999999994,-0.5,5.4,3.7,169.5,2012,November,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2012-12-01,0,7.1,9.75,4.6,7.5,164.5,16.0,3.4,0.15,3.033333333333333,-0.1099999999999994,0.0,5.4,-1.7,186.7,2012,December,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2013-01-01,0,7.2,10.79,4.8,7.5,177.0,15.8,3.4,0.15,4.2,1.0399999999999991,0.0,4.6,7.1,164.5,2013,January,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2013-02-01,0,1.4,10.79,4.8,7.75,153.3,15.8,3.4,0.15,5.233333333333333,1.0399999999999991,0.25,4.6,7.2,177.0,2013,February,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2013-03-01,0,15.2,10.79,4.8,7.75,157.5,15.8,3.4,0.15,7.933333333333334,1.0399999999999991,0.0,4.6,1.4,153.3,2013,March,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
