date,ml_prob,agent_score,final_score,actual
2012-01-01,0.0,0.23,0.092,0
2012-02-01,0.0,0.23,0.092,0
2012-03-01,0.0,0.23,0.092,0
2012-04-01,0.0,0.23,0.092,0
2012-05-01,0.0,0.08,0.032,0
2012-06-01,0.0,0.08,0.032,0
2012-07-01,0.0,0.08,0.032,0
2012-08-01,0.0,0.17,0.068,0
2012-09-01,0.007,0.17,0.072,0
2012-10-01,0.003,0.08,0.034,0
2012-11-01,0.05,0.17,0.098,0
2012-12-01,0.013,0.08,0.04,0
2013-01-01,0.0,0.14,0.056,0
2013-02-01,0.003,0.14,0.058,0
2013-03-01,0.0,0.14,0.056,0
2013-04-01,0.0,0.08,0.032,0
2013-05-01,0.0,0.08,0.032,0
2013-06-01,0.017,0.17,0.078,0
2013-07-01,0.0,0.08,0.032,0
2013-08-01,0.0,0.08,0.032,0
2013-09-01,0.0,0.08,0.032,0
2013-10-01,0.007,0.08,0.036,0
2013-11-01,0.0,0.08,0.032,0
2013-12-01,0.0,0.08,0.032,0
2014-01-01,0.0,0.08,0.032,0
2014-02-01,0.0,0.08,0.032,0
2014-03-01,0.0,0.08,0.032,0
2014-04-01,0.0,0.08,0.032,0
2014-05-01,0.0,0.08,0.032,0
2014-06-01,0.0,0.08,0.032,0
2014-07-01,0.0,0.08,0.032,0
2014-08-01,0.0,0.08,0.032,0
2014-09-01,0.0,0.08,0.032,0
2014-10-01,0.0,0.0,0.0,0
2014-11-01,0.0,0.0,0.0,0
2014-12-01,0.0,0.0,0.0,0
2015-01-01,0.0,0.0,0.0,0
2015-02-01,0.0,0.0,0.0,0
2015-03-01,0.013,0.0,0.008,0
2015-04-01,0.003,0.0,0.002,0
2015-05-01,0.0,0.0,0.0,0
2015-06-01,0.0,0.0,0.0,0
2015-07-01,0.013,0.0,0.008,0
2015-08-01,0.0,0.0,0.0,0
2015-09-01,0.0,0.0,0.0,0
2015-10-01,0.0,0.135,0.054,0
2015-11-01,0.0,0.06,0.024,0
2015-12-01,0.0,0.06,0.024,0
2016-01-01,0.003,0.0,0.002,0
2016-02-01,0.0,0.0,0.0,0
2016-03-01,0.0,0.0,0.0,0
2016-04-01,0.0,0.0,0.0,0
2016-05-01,0.0,0.0,0.0,0
2016-06-01,0.0,0.0,0.0,0
2016-07-01,0.0,0.08,0.032,0
2016-08-01,0.0,0.08,0.032,0
2016-09-01,0.0,0.08,0.032,0
2016-10-01,0.0,0.0,0.0,0
2016-11-01,0.0,0.0,0.0,0
2016-12-01,0.0,0.0,0.0,0
2017-01-01,0.02,0.0,0.012,0
2017-02-01,0.02,0.0,0.012,0
2017-03-01,0.0,0.0,0.0,0
2017-04-01,0.0,0.0,0.0,0
2017-05-01,0.0,0.0,0.0,0
2017-06-01,0.007,0.09,0.04,0
2017-07-01,0.02,0.0,0.012,0
2017-08-01,0.007,0.0,0.004,0
2017-09-01,0.0,0.0,0.0,0
2017-10-01,0.0,0.06,0.024,0
2017-11-01,0.0,0.06,0.024,0
2017-12-01,0.0,0.06,0.024,0
2018-01-01,0.0,0.06,0.024,0
2018-02-01,0.0,0.06,0.024,0
2018-03-01,0.0,0.06,0.024,0
2018-04-01,0.0,0.0,0.0,0
2018-05-01,0.0,0.0,0.0,0
2018-06-01,0.0,0.0,0.0,0
2018-07-01,0.0,0.0,0.0,0
2018-08-01,0.0,0.0,0.0,0
2018-09-01,0.0,0.0,0.0,0
2018-10-01,0.0,0.0,0.0,0
2018-11-01,0.0,0.0,0.0,0
2018-12-01,0.0,0.0,0.0,0
2019-01-01,0.0,0.0,0.0,0
2019-02-01,0.0,0.0,0.0,0
2019-03-01,0.0,0.0,0.0,0
2019-04-01,0.0,0.0,0.0,0
2019-05-01,0.0,0.0,0.0,0
2019-06-01,0.0,0.0,0.0,0
2019-07-01,0.06,0.0,0.036,0
2019-08-01,0.783,0.09,0.506,1
2019-09-01,1.0,0.15,0.66,1
2019-10-01,0.99,0.27,0.702,1
2019-11-01,0.945,0.12,0.615,1
2019-12-01,0.263,0.12,0.206,0
2020-01-01,0.091,0.14,0.11,0
2020-02-01,0.033,0.14,0.076,0
2020-03-01,0.927,0.425,0.726,1
2020-04-01,1.0,0.49,0.796,1
2020-05-01,1.0,0.415,0.766,1
2020-06-01,1.0,0.415,0.766,1
2020-07-01,1.0,0.415,0.766,1
2020-08-01,1.0,0.415,0.766,1
2020-09-01,0.543,0.265,0.432,0
2020-10-01,0.303,0.265,0.288,0
2020-11-01,0.38,0.295,0.346,0
2020-12-01,0.207,0.205,0.206,0
2021-01-01,0.463,0.215,0.364,0
2021-02-01,0.369,0.2,0.302,0
2021-03-01,0.131,0.05,0.098,0
2021-04-01,0.091,0.05,0.075,0
2021-05-01,0.084,0.05,0.071,0
2021-06-01,0.094,0.05,0.077,0
2021-07-01,0.084,0.11,0.095,0
2021-08-01,0.091,0.11,0.099,0
2021-09-01,0.088,0.11,0.097,0
2021-10-01,0.085,0.05,0.071,0
2021-11-01,0.124,0.05,0.095,0
2021-12-01,0.131,0.05,0.099,0
2022-01-01,0.15,0.19,0.166,0
2022-02-01,0.137,0.19,0.158,0
2022-03-01,0.109,0.19,0.141,0
2022-04-01,0.183,0.19,0.186,0
2022-05-01,0.2,0.19,0.196,0
2022-06-01,0.08,0.19,0.124,0
2022-07-01,0.103,0.08,0.094,0
2022-08-01,0.113,0.08,0.1,0
2022-09-01,0.09,0.08,0.086,0
2022-10-01,0.09,0.08,0.086,0
2022-11-01,0.09,0.08,0.086,0
2022-12-01,0.01,0.08,0.038,0
2023-01-01,0.0,0.08,0.032,0
2023-02-01,0.0,0.08,0.032,0
