date,ml_prob,agent_score,final_score,status,actual,top_signals,explanation
2000-01-01,0.014,0.267,0.116,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2000-02-01,0.014,0.266,0.115,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2000-03-01,0.026,0.272,0.124,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2000-04-01,0.023,0.262,0.119,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2000-05-01,0.015,0.295,0.127,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2000-06-01,0.027,0.358,0.159,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2000-07-01,0.025,0.349,0.154,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2000-08-01,0.017,0.341,0.146,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2000-09-01,0.02,0.393,0.169,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2000-10-01,0.017,0.352,0.151,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2000-11-01,0.046,0.377,0.179,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2000-12-01,0.077,0.316,0.173,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2001-01-01,0.01,0.261,0.111,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2001-02-01,0.017,0.204,0.092,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2001-03-01,0.052,0.291,0.147,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2001-04-01,0.005,0.359,0.146,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2001-05-01,0.011,0.317,0.133,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2001-06-01,0.005,0.189,0.078,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2001-07-01,0.024,0.163,0.08,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
2001-08-01,0.004,0.27,0.11,alert,0,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70,CPI 10.4% above RBI's target band; IIP contracting: -0.7%; 3-month avg negative: -0.70
