date,doc_name,doc_type,positive,negative,neutral,finbert_score,n_chunks
2016-01-01,econ_survey_2016,econ_survey,0.3038,0.2112,0.485,0.0926,20
2016-02-01,budget_2016,budget,0.2626,0.07,0.6674,0.1926,20
2016-10-01,mpc_2016_10,mpc,0.031,0.0738,0.8952,-0.0428,2
2017-01-01,econ_survey_2017,econ_survey,0.2117,0.3571,0.4312,-0.1454,20
2017-02-01,budget_2017,budget,0.4443,0.0424,0.5133,0.4019,20
2017-02-01,mpc_2017_02,mpc,0.0291,0.0443,0.9266,-0.0153,1
2017-08-01,mpc_2017_08,mpc,0.0368,0.022,0.9413,0.0148,1
2018-02-01,budget_2018,budget,0.3926,0.0173,0.5901,0.3753,20
2018-02-01,mpc_2018_02,mpc,0.0305,0.0384,0.9311,-0.0079,1
2018-08-01,mpc_2018_08,mpc,0.4428,0.0788,0.4784,0.364,2
2019-02-01,mpc_2019_02,mpc,0.0282,0.0596,0.9122,-0.0314,2
2019-02-01,budget_2019,budget,0.386,0.0137,0.6003,0.3723,20
2019-08-01,mpc_2019_08,mpc,0.0287,0.1144,0.8569,-0.0858,2
2020-02-01,budget_2020,budget,0.2667,0.0197,0.7136,0.247,20
2020-03-01,mpc_2020_03,mpc,0.1508,0.6031,0.246,-0.4523,7
2020-04-01,rbi_gov_2020_04,rbi_governor,0.0216,0.0767,0.9017,-0.0551,2
2020-05-01,mpc_2020_05,mpc,0.2562,0.6153,0.1285,-0.3591,6
2021-02-01,budget_2021,budget,0.2728,0.0317,0.6955,0.2411,20
2021-02-01,mpc_2021_02,mpc,0.0271,0.0311,0.9418,-0.0041,8
2021-04-01,rbi_gov_2021_04,rbi_governor,0.5501,0.1114,0.3385,0.4387,12
2021-08-01,mpc_2021_08,mpc,0.0251,0.0578,0.917,-0.0327,5
2022-02-01,budget_2022,budget,0.3832,0.0108,0.606,0.3724,20
2022-04-01,rbi_gov_2022_04,rbi_governor,0.0295,0.0439,0.9266,-0.0144,3
2022-08-01,mpc_2022_08,mpc,0.0226,0.0328,0.9445,-0.0102,1
2023-02-01,budget_2023,budget,0.4275,0.0246,0.548,0.4029,20
2023-02-01,mpc_2023_02,mpc,0.0267,0.0357,0.9376,-0.009,11
2023-04-01,rbi_gov_2023_04,rbi_governor,0.0267,0.0224,0.9509,0.0043,1
2023-08-01,mpc_2023_08,mpc,0.0266,0.5666,0.4068,-0.5401,1
2024-02-01,budget_2024,budget,0.347,0.0143,0.6387,0.3327,20
2024-02-01,mpc_2024_02,mpc,0.1067,0.3471,0.5462,-0.2404,2
2024-04-01,rbi_gov_2024_04,rbi_governor,0.034,0.4217,0.5443,-0.3877,1
2024-08-01,mpc_2024_08,mpc,0.0206,0.0277,0.9517,-0.0071,2
2025-02-01,budget_2025,budget,0.3527,0.0185,0.6288,0.3342,20
2025-04-01,rbi_gov_2025_04,rbi_governor,0.0211,0.0837,0.8953,-0.0626,1
